priority_rank,content_id,client_id,priority_score,recommended_action,reason_codes,search_volume,impressions_90d,clicks_90d,trend_pct,days_since_last_update,word_count,content_age_days
6864,content_8039536274ad,client_6208ef0f77,0.8671499223545245,Refresh and review,"STALE, DECLINING, MULTIPLE_SIGNALS",0.0,231,0,-88.1,104,5795.0,148
6865,content_a27d2d6f27c3,client_d029fa3a95,0.8671389696072552,Investigate and refresh,"DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",590.0,136,0,-39.4,20,4473.0,118
6866,content_833504301aed,client_f369cb89fc,0.8671385139273017,Monitor,REVIEW,10.0,39,0,,8,2778.0,147
6867,content_1ff3c9f22859,client_2c624232cd,0.8671205974885473,Monitor,HIGH_DEMAND,170.0,83,0,0.0,22,,517
6868,content_3a3e736a6252,client_8722616204,0.8671102242654625,Monitor,DECLINING,0.0,89,0,-100.0,8,2679.0,90
6869,content_b53453d2391e,client_19581e27de,0.8670505705457408,Investigate and refresh,"DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",480.0,114,0,-13.7,22,,482
6870,content_65dd444c604d,client_8722616204,0.8669699170878983,Monitor,DECLINING,0.0,88,0,-90.6,8,2862.0,90
6871,content_ead3bbc07ddd,client_d029fa3a95,0.8669673332660227,Monitor,DECLINING,0.0,53,0,-56.0,20,3311.0,110
6872,content_79ea779b5fcc,client_8527a891e2,0.8669508932887606,Monitor,REVIEW,0.0,34,0,177.8,20,1575.0,275
6873,content_31b69aaaba9a,client_19581e27de,0.8669300154091042,Monitor,HIGH_DEMAND,50.0,82,0,28.6,22,,463
6874,content_fcd9b1419e02,client_d029fa3a95,0.8669110886513027,Monitor,DECLINING,0.0,43,0,-50.0,20,4042.0,221
6875,content_319ee88380a4,client_8722616204,0.8669064943771561,Monitor,DECLINING,10.0,264,0,-94.1,20,2970.0,96
6876,content_b9d721cb3d7c,client_4ec9599fc2,0.8668774311720485,Refresh and review,"STALE, DECLINING, MULTIPLE_SIGNALS",0.0,98,0,-97.8,104,,375
6877,content_44592b77d53e,client_19581e27de,0.8668412852545978,Investigate and refresh,"DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",40.0,168,0,-49.0,22,,441
6878,content_93f91ae34caf,client_19581e27de,0.866811829973491,Monitor,REVIEW,10.0,110,0,23.9,22,,480
6879,content_08366e95bd39,client_8527a891e2,0.8667961826955461,Monitor,DECLINING,0.0,209,0,-83.3,92,1678.0,174
6880,content_d3b495d2eab6,client_f369cb89fc,0.8667958740477126,Monitor,DECLINING,0.0,61,0,-70.0,20,2604.0,138
6881,content_5aea5309ab07,client_d4735e3a26,0.8667681011278114,Monitor,REVIEW,,12,0,50.0,20,880.0,309
6882,content_a6b8c4fb779b,client_f369cb89fc,0.866754433363228,Monitor,DECLINING,10.0,56,0,-27.8,88,2945.0,106
6883,content_0aa31f1d81e6,client_19581e27de,0.8666617893258117,Monitor,REVIEW,10.0,54,0,4.0,22,,482
6884,content_0e32afb161b0,client_8527a891e2,0.8666386558785353,Refresh and review,"STALE, DECLINING, MULTIPLE_SIGNALS",10.0,47,0,-75.0,104,1551.0,273
6885,content_a92ba56cc6d7,client_e629fa6598,0.8665368441778636,Monitor,DECLINING,0.0,218,0,-69.2,20,,460
6886,content_03ed3e554fc4,client_434c9b5ae5,0.8665182432176401,Monitor,DECLINING,0.0,636,0,-96.2,8,2844.0,105
6887,content_c0f2f28940b0,client_19581e27de,0.8664704266122014,Freshness review,"STALE, HIGH_DEMAND, MULTIPLE_SIGNALS",260.0,78,0,22.7,104,,362
